# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Proposal Pass Rate,-5.555058,49.237572,0.000001,true,-1.434310,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Average Turnout,-8.957178,51.893091,0.000000,true,-2.312733,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Final Treasury,0.792979,56.328466,0.431117,false,0.204746,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Final Token Price,0.777146,55.045207,0.440400,false,0.200658,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Final Member Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Total Proposals,-2.215339,56.090825,0.030814,false,-0.571998,medium
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Quorum Reach Rate,9.282934,57.768046,0.000000,true,2.396843,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Avg Margin of Victory,0.109015,56.606076,0.913576,false,0.028148,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Avg Time to Decision,-1.165013,57.487356,0.248825,false,-0.300805,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Proposal Abandonment Rate,-0.787826,57.363175,0.434042,false,-0.203416,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Proposal Rejection Rate,5.555058,49.237572,0.000001,true,1.434310,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Governance Overhead,-7.000802,50.507765,0.000000,true,-1.807599,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Unique Voter Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Voter Participation Rate,-7.002538,50.003548,0.000000,true,-1.808048,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Voter Concentration Gini,35.052248,56.331967,0,true,9.050452,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Delegate Concentration,39.808694,57.351084,0,true,10.278561,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Avg Votes Per Proposal,-7.002538,50.003548,0.000000,true,-1.808048,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Voter Retention Rate,-3.894120,43.195701,0.000337,true,-1.005457,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Voting Power Utilization,-8.957178,51.893091,0.000000,true,-2.312733,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Treasury Volatility,-0.168808,56.400286,0.866551,false,-0.043586,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Treasury Growth Rate,-0.115267,57.982654,0.908632,false,-0.029762,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Staking Participation,-9.023936,54.985082,0.000000,true,-2.329970,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Token Concentration Gini,-9.319745,55.037287,0.000000,true,-2.406348,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Avg Member Wealth,9.030271,55.346953,0.000000,true,2.331606,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Wealth Mobility,9.319745,55.037287,0.000000,true,2.406348,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Whale Influence,-28.825883,57.858072,0,true,-7.442811,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Whale Proposal Rate,-0.451257,57.792096,0.653493,false,-0.116514,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Governance Capture Risk,42.764580,56.923352,0,true,11.041767,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Vote Buying Vulnerability,-7.001537,52.749757,0.000000,true,-1.807789,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Single Entity Control,-8.048969,51.927733,0.000000,true,-2.078235,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Collusion Threshold,2.408319,29,0.022608,false,0.621825,medium
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Participation Trend,0.314749,49.098647,0.754286,false,0.081268,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Treasury Trend,1.526051,57.491209,0.132480,false,0.394025,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Member Growth Rate,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Proposal Rate,-2.215339,56.090825,0.030814,false,-0.571998,medium
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Governance Activity Index,-8.669759,51.615470,0.000000,true,-2.238522,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Final Gini,-9.293403,55.000770,0.000000,true,-2.399546,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.15,Final Reputation Gini,-1.004076,55.566671,0.319694,false,-0.259251,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Proposal Pass Rate,-5.694360,32.712114,0.000002,true,-1.470277,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Average Turnout,-8.958257,40.377393,0.000000,true,-2.313012,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Final Treasury,-1.976039,37.681127,0.055506,false,-0.510211,medium
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Final Token Price,-0.619294,44.854909,0.538855,false,-0.159901,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Final Member Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Total Proposals,-1.065947,53.530085,0.291232,false,-0.275226,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Quorum Reach Rate,5.505841,50.160262,0.000001,true,1.421602,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Avg Margin of Victory,0.388075,55.329617,0.699450,false,0.100200,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Avg Time to Decision,-1.304451,55.735239,0.197441,false,-0.336808,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Proposal Abandonment Rate,-1.035851,57.065040,0.304641,false,-0.267456,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Proposal Rejection Rate,5.694360,32.712114,0.000002,true,1.470277,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Governance Overhead,-6.133692,46.321740,0.000000,true,-1.583712,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Unique Voter Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Voter Participation Rate,-6.028969,45.418071,0.000000,true,-1.556673,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Voter Concentration Gini,29.636055,50.398019,0,true,7.651997,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Delegate Concentration,34.278104,56.824693,0,true,8.850568,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Avg Votes Per Proposal,-6.028969,45.418071,0.000000,true,-1.556673,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Voter Retention Rate,-4.633593,34.331707,0.000050,true,-1.196389,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Voting Power Utilization,-8.958257,40.377393,0.000000,true,-2.313012,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Treasury Volatility,-0.205068,56.692530,0.838253,false,-0.052948,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Treasury Growth Rate,-1.245446,55.446259,0.218206,false,-0.321573,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Staking Participation,-6.594821,29.123006,0.000000,true,-1.702776,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Token Concentration Gini,4.306380,29.917824,0.000164,true,1.111903,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Avg Member Wealth,6.899336,29.175812,0.000000,true,1.781401,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Wealth Mobility,-4.306380,29.917824,0.000164,true,-1.111903,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Whale Influence,-28.273797,57.967451,0,true,-7.300263,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Whale Proposal Rate,-0.415763,56.029171,0.679171,false,-0.107350,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Governance Capture Risk,41.544321,57.755006,0,true,10.726698,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Vote Buying Vulnerability,-6.535928,52.150632,0.000000,true,-1.687569,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Single Entity Control,-6.577833,29.125622,0.000000,true,-1.698389,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Collusion Threshold,-4.497141,29.325394,0.000100,true,-1.161157,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Participation Trend,0.025424,46.575601,0.979826,false,0.006564,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Treasury Trend,1.091843,57.474438,0.279458,false,0.281913,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Member Growth Rate,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Proposal Rate,-1.065947,53.530085,0.291232,false,-0.275226,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Governance Activity Index,-7.998940,40.519727,0.000000,true,-2.065317,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Final Gini,-1.258342,31.893918,0.217402,false,-0.324902,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.15_participation_target_rate=0.25,Final Reputation Gini,1.094745,56.444364,0.278278,false,0.282662,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Proposal Pass Rate,-1.153526,56.171643,0.253579,false,-0.297839,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Average Turnout,-8.528027,50.192903,0.000000,true,-2.201927,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Final Treasury,0.802962,53.945886,0.425520,false,0.207324,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Final Token Price,0.000725,57.048642,0.999424,false,0.000187,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Final Member Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Total Proposals,-1.358909,53.138035,0.179916,false,-0.350869,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Quorum Reach Rate,7.143983,57.693293,0.000000,true,1.844568,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Avg Margin of Victory,8.638059,55.480846,0.000000,true,2.230337,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Avg Time to Decision,-0.597190,57.389679,0.552730,false,-0.154194,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Proposal Abandonment Rate,-0.144839,57.920323,0.885341,false,-0.037397,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Proposal Rejection Rate,1.153526,56.171643,0.253579,false,0.297839,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Governance Overhead,-3.480217,55.433710,0.000984,true,-0.898588,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Unique Voter Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Voter Participation Rate,-3.532132,55.251929,0.000841,true,-0.911993,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Voter Concentration Gini,28.659779,57.142844,0,true,7.399923,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Delegate Concentration,26.723718,57.801777,0,true,6.900034,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Avg Votes Per Proposal,-3.532132,55.251929,0.000841,true,-0.911993,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Voter Retention Rate,-3.563434,40.016207,0.000964,true,-0.920075,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Voting Power Utilization,-8.528027,50.192903,0.000000,true,-2.201927,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Treasury Volatility,-1.352425,57.658209,0.181520,false,-0.349195,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Treasury Growth Rate,0.343039,57.808118,0.732814,false,0.088572,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Staking Participation,-12.823469,29.193988,0.000000,true,-3.311006,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Token Concentration Gini,13.996255,31.741743,0.000000,true,3.613818,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Avg Member Wealth,14.516797,29.332870,0.000000,true,3.748221,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Wealth Mobility,-13.996255,31.741743,0.000000,true,-3.613818,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Whale Influence,-22.605164,57.573346,0,true,-5.836628,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Whale Proposal Rate,0.521802,54.175369,0.603935,false,0.134729,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Governance Capture Risk,22.910899,57.708370,0,true,5.915569,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Vote Buying Vulnerability,-5.216430,57.942646,0.000003,true,-1.346876,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Single Entity Control,-12.458206,29.193803,0.000000,true,-3.216695,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Collusion Threshold,-8.882378,29.414170,0.000000,true,-2.293420,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Participation Trend,-1.221510,57.687197,0.226862,false,-0.315392,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Treasury Trend,3.117588,57.947690,0.002838,true,0.804958,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Member Growth Rate,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Proposal Rate,-1.358909,53.138035,0.179916,false,-0.350869,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Governance Activity Index,-7.217127,45.945505,0.000000,true,-1.863454,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Final Gini,1.122095,32.226708,0.270113,false,0.289724,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0,Final Reputation Gini,-0.640995,52.058948,0.524338,false,-0.165504,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Proposal Pass Rate,-16.305424,31.904466,0,true,-4.210042,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Average Turnout,-12.705683,41.100589,0.000000,true,-3.280593,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Final Treasury,-0.924743,54.808247,0.359153,false,-0.238768,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Final Token Price,-0.222190,57.999660,0.824947,false,-0.057369,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Final Member Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Total Proposals,-1.875161,53.684016,0.066214,false,-0.484165,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Quorum Reach Rate,4.353486,53.862354,0.000060,true,1.124065,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Avg Margin of Victory,3.980888,57.590076,0.000195,true,1.027861,large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Avg Time to Decision,-0.577762,52.059606,0.565915,false,-0.149178,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Proposal Abandonment Rate,-1.395805,57.850515,0.168108,false,-0.360395,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Proposal Rejection Rate,16.305424,31.904466,0,true,4.210042,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Governance Overhead,-8.135999,45.991294,0.000000,true,-2.100706,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Unique Voter Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Voter Participation Rate,-7.993555,45.097813,0.000000,true,-2.063927,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Voter Concentration Gini,50.954589,55.083113,0,true,13.156418,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Delegate Concentration,35.320700,51.134615,0,true,9.119766,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Avg Votes Per Proposal,-7.993555,45.097813,0.000000,true,-2.063927,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Voter Retention Rate,-5.082236,29.987066,0.000018,true,-1.312228,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Voting Power Utilization,-12.705683,41.100589,0.000000,true,-3.280593,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Treasury Volatility,-0.418517,57.988293,0.677115,false,-0.108061,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Treasury Growth Rate,-0.640473,54.141156,0.524567,false,-0.165369,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Staking Participation,-11.943046,29.193485,0.000000,true,-3.083681,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Token Concentration Gini,10.084963,30.816361,0.000000,true,2.603926,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Avg Member Wealth,13.702920,29.336445,0.000000,true,3.538079,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Wealth Mobility,-10.084963,30.816361,0.000000,true,-2.603926,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Whale Influence,-44.954470,56.880095,0,true,-11.607194,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Whale Proposal Rate,0.189956,53.087258,0.850068,false,0.049046,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Governance Capture Risk,44.983855,56.114499,0,true,11.614781,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Vote Buying Vulnerability,-6.261664,51.791092,0.000000,true,-1.616755,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Single Entity Control,-11.551076,29.194650,0.000000,true,-2.982475,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Collusion Threshold,-7.127701,29.365483,0.000000,true,-1.840364,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Participation Trend,-1.125775,43.690736,0.266407,false,-0.290674,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Treasury Trend,1.348051,53.754375,0.183295,false,0.348065,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Member Growth Rate,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Proposal Rate,-1.875161,53.684016,0.066214,false,-0.484165,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Governance Activity Index,-11.893907,41.964035,0.000000,true,-3.070994,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Final Gini,-0.463246,31.138685,0.646410,false,-0.119610,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.15,Final Reputation Gini,-1.198788,34.083443,0.238879,false,-0.309526,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Proposal Pass Rate,-14.708163,31.163467,0.000000,true,-3.797631,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Average Turnout,-15.686804,42.911472,0,true,-4.050315,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Final Treasury,-0.154955,57.357636,0.877401,false,-0.040009,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Final Token Price,-0.393497,57.507681,0.695408,false,-0.101601,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Final Member Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Total Proposals,-1.703073,51.614419,0.094570,false,-0.439732,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Quorum Reach Rate,2.952894,55.572786,0.004606,true,0.762434,medium
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Avg Margin of Victory,5.548155,58.000000,0.000001,true,1.432527,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Avg Time to Decision,-0.130688,57.882841,0.896475,false,-0.033744,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Proposal Abandonment Rate,-1.658223,57.792552,0.102691,false,-0.428151,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Proposal Rejection Rate,14.708163,31.163467,0.000000,true,3.797631,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Governance Overhead,-10.132859,46.345389,0.000000,true,-2.616293,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Unique Voter Count,0,58,1,false,0,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Voter Participation Rate,-10.081507,45.920557,0.000000,true,-2.603034,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Voter Concentration Gini,56.911419,57.655871,0,true,14.694465,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Delegate Concentration,39.748209,54.843094,0,true,10.262944,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Avg Votes Per Proposal,-10.081507,45.920557,0.000000,true,-2.603034,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Voter Retention Rate,-5.313095,29.000000,0.000011,true,-1.371835,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Voting Power Utilization,-15.686804,42.911472,0,true,-4.050315,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Treasury Volatility,-0.915670,52.428355,0.364033,false,-0.236425,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Treasury Growth Rate,-0.020087,54.486072,0.984047,false,-0.005187,negligible
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Staking Participation,-12.915065,29.191800,0.000000,true,-3.334655,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Token Concentration Gini,11.687855,30.946380,0.000000,true,3.017791,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Avg Member Wealth,14.808335,29.338518,0.000000,true,3.823496,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Wealth Mobility,-11.687855,30.946380,0.000000,true,-3.017791,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Whale Influence,-46.655428,57.900012,0,true,-12.046380,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Whale Proposal Rate,1.040379,53.431545,0.302849,false,0.268625,small
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Governance Capture Risk,49.917746,57.995223,0,true,12.888706,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Vote Buying Vulnerability,-7.354674,53.867712,0.000000,true,-1.898969,very_large
voting_activity=0.15_participation_target_rate=0,voting_activity=0.25_participation_target_rate=0.25,Single Entity Control,-12.703158,29.187525,0.000000,true,-3.279941,very_large
