run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Final Treasury,Final Token Price,Final Member Count,Total Proposals,Quorum Reach Rate,Avg Margin of Victory,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Unique Voter Count,Voter Participation Rate,Voter Concentration Gini,Delegate Concentration,Avg Votes Per Proposal,Voter Retention Rate,Voting Power Utilization,Treasury Volatility,Treasury Growth Rate,Staking Participation,Token Concentration Gini,Avg Member Wealth,Wealth Mobility,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Vote Buying Vulnerability,Single Entity Control,Collusion Threshold,Participation Trend,Treasury Trend,Member Growth Rate,Proposal Rate,Governance Activity Index,Final Gini,Final Reputation Gini
Academic Baseline-run-001,,42,10007,0.9024390243902439,0.23825308859406277,12051.819545028882,4.780827188977581,405,42,1,0.39224765057096567,983.3170731707318,0,0.0975609756097561,70.07317073170732,326,0.22717759680738117,0.4257739415957542,0.2681314552947726,68.4047619047619,0.8858267716535433,0.17546662959706863,0.232097960520206,-0.6890318582655032,0.08854959813765458,0.405357504468057,112.58232670781437,0.5946424955319429,0.26686912071784935,0.6904761904761905,0.27619254081276234,220.64281822246545,0.020430087987301178,0.35555555555555557,0.002262285710016598,-10.250395702727523,0.9285714285714286,2.1,0.003597065906739908,0.4052261730896374,0.9871555533849001
Academic Baseline-run-002,,43,11993,0.9795918367346939,0.21832284206773583,12049.584647441096,6.736282165515849,405,50,1,0.5679537194117794,938.9591836734694,0,0.02040816326530612,75.6734693877551,318,0.2423872553837634,0.41296408442355326,0.2662693460576367,74.16,0.9198473282442748,0.16525680449442307,0.20728641250465712,-0.6890597081776186,0.0673553876367044,0.5000319008820059,133.4657243712546,0.4999680991179941,0.2762606238426283,0.64,0.26864108601757875,0,0.01812762396443659,0.31851851851851853,0.001901429830651617,-9.125827540153171,0.9285714285714286,2.5,0.004048791710113364,0.49996387649723095,0.9801289990026647
Academic Baseline-run-003,,44,11419,0.9782608695652174,0.21160537279462777,12053.52011839624,1.1278195744844526,405,47,1,0.5478917231577194,899.695652173913,0,0.021739130434782608,73.71739130434783,315,0.2342695919443061,0.41939702690303543,0.25341381795686363,72.14893617021276,0.9518072289156626,0.16596559937301159,0.212478960342701,-0.6890150138760619,0.06722224222561396,0.4808392218914076,125.9302882209717,0.5191607781085924,0.26815484502166465,0.723404255319149,0.25740436640490305,53.78149889861811,0.019113422421452832,0.32839506172839505,0.0021590889859900036,-9.405779067978006,0.9285714285714286,2.35,0.0038172087855792656,0.4804774686121869,0.9828737846734801
Academic Baseline-run-004,,45,11429,0.9833333333333333,0.23313676113318849,10623.598065000877,0.9806851096953154,405,61,1,0.4137474767459029,1023.5666666666667,0,0.016666666666666666,73.66666666666667,332,0.23991411824166253,0.4145030387267326,0.2717545001063323,72.45901639344262,0.9214876033057852,0.17088345850499512,0.22026992087818378,-0.7109265440217256,0.07579321697650426,0.4657219675507634,125.69811832954869,0.5342780324492367,0.27249265599957206,0.819672131147541,0.2657849249332526,221.54409401399596,0.01863384398114923,0.3333333333333333,0.0020474239412138235,-12.324797629894423,0.9285714285714286,3.05,0.005126503755149853,0.4655975515795705,0.9900607451093693
Academic Baseline-run-005,,46,10402,1,0.23067757175481376,11765.394560912817,1.0454744846257251,405,52,1,0.5505351216209364,931.0816326530612,0,0,75.79591836734694,332,0.2310408385452911,0.4087509356376074,0.2701888638877178,71.42307692307692,0.9045801526717557,0.1735446358947375,0.2383365621394596,-0.7293689224441556,0.09078945447253085,0.4431167555091703,121.06181671485687,0.5568832444908297,0.26733678385277343,0.75,0.2721930277935699,248.37130212172974,0.020083547135626528,0.33827160493827163,0.0018718808467487278,-9.235247295419425,0.9285714285714286,2.6,0.004251843579421069,0.44318583089814134,0.9796707211937148
Academic Baseline-run-006,,47,9824,0.975,0.22926608614229482,12048.40239211559,26.360351789703675,405,40,1,0.5748498788616938,912.375,0,0.025,70.425,314,0.2299816303157387,0.4339061056521374,0.28495053884103183,70.425,0.9300411522633745,0.1722594842873609,0.23304311827155094,-0.6889930097188964,0.08180392198500708,0.4605892280906512,121.88416199878343,0.5394107719093488,0.2971682504626596,0.9,0.2893125305751981,106.94204917861725,0.01865513645559823,0.3333333333333333,0.002076452222920152,-11.043845275968483,0.9285714285714286,2,0.0034451896857472172,0.4605852457750903,0.9851918941419182
Academic Baseline-run-007,,48,12182,1,0.22428044765993477,10802.891550107102,1.2594661990386804,405,51,0.9803921568627451,0.5147064415550883,923.52,0,0,73.98,323,0.23683028162233388,0.40613202734414855,0.2694183610257794,72.52941176470588,0.9227799227799228,0.16400014491289344,0.1964817682435733,-0.7233721819819315,0.06430821271941611,0.4829610800165634,132.18173352673088,0.5170389199834367,0.26790434536972413,0.8431372549019608,0.2648560635975139,328.4305865277736,0.01757452730068993,0.32592592592592595,0.0017366487760442297,-6.359873050048877,0.9285714285714286,2.55,0.004100003622822336,0.4831544218170447,0.9795981108790985
Academic Baseline-run-008,,49,10148,1,0.22070632888071165,12051.108782962352,2.3323643915831167,405,43,1,0.5967129883533421,956.525,0,0,72.45,327,0.21834003460522253,0.3999762659166696,0.24494508651272534,67.3953488372093,0.932806324110672,0.1559269168410948,0.25657264822364906,-0.7199284117264966,0.07928814962436818,0.4317265747693903,125.75393423615998,0.5682734252306096,0.2541761232888481,0.7209302325581395,0.2359988561089906,0,0.018427552319310952,0.34814814814814815,0.0026084303704107664,-10.896050950993976,0.9285714285714286,2.15,0.0031185383368218973,0.4315460886556868,0.984479299710926
Academic Baseline-run-009,,50,11015,1,0.22374061605363615,11001.578321159339,1.1628943619632055,405,46,1,0.5079957241465802,840.1111111111111,0,0,79.84444444444445,328,0.25032806466560137,0.39327345063779173,0.2718613828616653,78.1086956521739,0.9242424242424242,0.17775440028257328,0.23784329179795538,-0.737614209598814,0.09640810250282704,0.4671426012616498,135.09112981270061,0.5328573987383503,0.27624691599299955,0.9130434782608695,0.27946727827268986,0,0.018264698577553223,0.3333333333333333,0.0025548503149826684,-11.898189742211784,0.9285714285714286,2.3,0.0039994740063579,0.4669387609165876,0.9888742649965021
Academic Baseline-run-010,,51,9660,1,0.21488201230956017,12050.592909502797,3.500703171541576,405,42,1,0.5531591063303541,879.875,0,0,73.8,310,0.22768481200432994,0.446830280312139,0.27514129751105293,70.28571428571429,0.91015625,0.17049435171618718,0.2175219569535785,-0.6888992023833531,0.0838921300429032,0.465465601248805,125.14410185121761,0.534534398751195,0.2822958254085303,0.8809523809523809,0.2764726308598607,0,0.018813036786943942,0.3308641975308642,0.0018910379806967423,-11.982795750898903,0.9285714285714286,2.1,0.0034098870343237425,0.46527387281631505,0.9869852678290618
Academic Baseline-run-011,,52,14649,0.9772727272727273,0.22821862619338795,12039.555656914239,3.603859250163482,405,44,1,0.6507777467072754,823.7954545454545,0,0.022727272727272728,76.68181818181819,317,0.2439646930537725,0.40323645880434633,0.2777013257834096,76.68181818181819,0.9494163424124513,0.18244955504143684,0.22338843732328545,-0.6889613371000993,0.08844791551870733,0.4597781770220401,123.76759799989537,0.5402218229779598,0.2766563579941656,0.6363636363636364,0.2822394259525801,0,0.019676110982564127,0.33827160493827163,0.0017812333177732295,-9.232670063564871,0.9285714285714286,2.1999999999999997,0.004013890210911611,0.4596353249514853,0.9788824484130061
Academic Baseline-run-012,,53,10401,1,0.2179630937980419,12049.73998054157,1.9204589690993341,405,34,1,0.6404013296320427,638.3529411764706,0,0,80.41176470588235,331,0.24547125696835775,0.3783287692733438,0.2818034802926791,80.41176470588235,0.9112627986348123,0.18621499213154352,0.24956336376580257,-0.720084820427556,0.10646353276584232,0.45722416183562276,126.0431895609998,0.5427758381643772,0.2682345714033239,0.7647058823529411,0.28136544404543923,0,0.01940909719542992,0.33827160493827163,0.0026939668594172096,-8.448960197475028,0.9285714285714286,1.7000000000000002,0.00316565486623624,0.45709497126953913,0.9785472185778827
Academic Baseline-run-013,,54,11390,1,0.23339287862051725,12119.932177656363,1.451174993548125,405,43,1,0.5368435093186964,954.609756097561,0,0,70.73170731707317,339,0.22232739793746611,0.4095233508324102,0.26609428044226513,67.44186046511628,0.8832684824902723,0.16946577638015714,0.2398971360668576,-0.7198662235235754,0.09497168728787614,0.4375081853485283,115.42458270029152,0.5624918146514717,0.2581655171559542,0.6976744186046512,0.27445246168031423,0,0.018885047107362482,0.3333333333333333,0.0022961159712975967,-12.00571688230041,0.9285714285714286,2.15,0.0034740484157932214,0.4394078063924587,0.9824955889733527
Academic Baseline-run-014,,55,10248,1,0.22673007066589887,12048.071890143847,3.1722164824234658,405,40,1,0.5616793405246698,939.45,0,0,64.825,323,0.2134311289672377,0.4227844147731709,0.268944903549601,64.825,0.890625,0.1703965427613833,0.24380010075316383,-0.7200768153677753,0.08254737105343703,0.39268000592206337,108.6631584650252,0.6073199940779366,0.26734928454761175,0.55,0.26600974070464817,0,0.020636684001835374,0.35802469135802467,0.003154675722853584,-12.960826590882132,0.9285714285714286,2,0.003407930855227666,0.3926490662990141,0.9844015038873204
Academic Baseline-run-015,,56,8973,1,0.233305534174038,12022.970017408445,2.137812516836405,405,42,1,0.6028871105023502,1001.5384615384615,0,0,74.92307692307692,337,0.23113481112019946,0.4000712101861527,0.28062720924301204,69.57142857142857,0.8821138211382114,0.16732785101618958,0.24156195726424623,-0.7309195419978014,0.0942398253315905,0.4505784782952214,122.51175783499538,0.5494215217047786,0.2793091684741484,0.8333333333333334,0.27723856374360395,301.5068100720471,0.01811009732533323,0.3333333333333333,0.0026422597391873802,-12.047461949209218,0.9285714285714286,2.1,0.0032628930948156976,0.45060814964852947,0.9867956020195268
Academic Baseline-run-016,,57,10125,0.9387755102040817,0.23185265874251137,12049.892985911196,3.6959540096742867,405,51,1,0.5397097987796871,757.530612244898,0,0.061224489795918366,83.55102040816327,337,0.24655768371761688,0.36607917469035056,0.27267912424101326,80.27450980392157,0.9228070175438596,0.19033252147371893,0.23889584546155673,-0.6889279401229315,0.07546082284306833,0.44917899476194345,126.86973213616257,0.5508210052380565,0.2764841779974941,0.9019607843137255,0.2762238824068707,104.97960736261591,0.016951987076404915,0.33827160493827163,0.0023725085110961348,-14.491382376635334,0.9285714285714286,2.55,0.004663146776106113,0.4491740783255813,0.9820759247283779
Academic Baseline-run-017,,58,10306,0.9767441860465116,0.22514001555713994,10505.161715185495,0.9757927623358729,405,44,1,0.49342611614657006,900.5581395348837,0,0.023255813953488372,73.16279069767442,315,0.23367201413534378,0.4136591101360749,0.25517489077831784,71.5,0.9554655870445344,0.16675373076967895,0.23869889219581347,-0.7282569541257723,0.09841441054587184,0.44113645430334963,126.67178598972696,0.5588635456966504,0.26094695737362883,0.8181818181818182,0.25066949551767037,11.586158558372063,0.015299644423078103,0.34074074074074073,0.0024390006180784254,-13.691780830125383,0.9285714285714286,2.1999999999999997,0.0035852052115480973,0.441132760684843,0.9735488460314152
Academic Baseline-run-018,,59,11998,0.9830508474576272,0.22359815838583905,10433.365277003919,0.9623385066693225,405,63,1,0.5173752869661231,878.4915254237288,0,0.01694915254237288,77.30508474576271,335,0.23077950800905062,0.39196581596693947,0.26306548909313004,72.39682539682539,0.8920863309352518,0.16632296861738502,0.2514742308845486,-0.7498092483801415,0.07328641038181383,0.4674406811463604,129.0318177768291,0.5325593188536396,0.26511118880072765,0.6825396825396826,0.2555210533727061,240.47007127476277,0.017156964622427082,0.32839506172839505,0.001839080676299057,-14.877322155116856,0.9285714285714286,3.15,0.004906527574212856,0.46743529967276154,0.9769206624641134
Academic Baseline-run-019,,60,9481,1,0.22029897096268874,10656.940404598676,0.9933828669101512,405,39,1,0.6051566593987875,768.8108108108108,0,0,77.72972972972973,323,0.2297041536424143,0.4076244292938599,0.263488664008616,73.74358974358974,0.9100719424460432,0.17463550550999685,0.20927853378694303,-0.7259768021473201,0.07298579025139126,0.4658628031231657,122.63495377164966,0.5341371968768343,0.2759865754810162,0.7948717948717948,0.25967621637526833,0,0.019146956768659698,0.3333333333333333,0.0015699229063720875,-13.332984942751503,0.9285714285714286,1.95,0.0032307568519349414,0.46573484406177257,0.9783185799344021
Academic Baseline-run-020,,61,11339,1,0.22208208733451462,10418.07894009625,1.1329016660211513,405,43,1,0.542920222861421,915.2142857142857,0,0,73.52380952380952,325,0.2371071896273892,0.4154919943921066,0.2656337486582534,71.81395348837209,0.9206349206349206,0.1646530408805198,0.22491802005066822,-0.7585888319397793,0.06685201153494799,0.4769682808770088,127.47781233774981,0.5230317191229912,0.26701146311964646,0.6976744186046512,0.26780797050248517,134.53251990615672,0.01735662975770675,0.3308641975308642,0.001813932086851895,-9.112139650756411,0.9285714285714286,2.15,0.003457713858490917,0.4769548969370858,0.9865266191841175
Academic Baseline-run-021,,62,11154,1,0.21813463150228887,12049.60977526075,6.665434956759743,405,43,1,0.6452038165341173,807.6585365853658,0,0,81.09756097560975,341,0.2430357855168696,0.39947536068952594,0.27203177236103265,77.32558139534883,0.8951048951048951,0.17449069729858216,0.24738280574286045,-0.7203641691429498,0.07981669209539893,0.4669667838805111,131.8078632479747,0.5330332161194888,0.2663190932141965,0.813953488372093,0.27085234180746487,0,0.01775996259297798,0.3333333333333333,0.002272489369468322,-10.381251514338953,0.9285714285714286,2.15,0.0035770592946209353,0.46695670404437006,0.9751163636440341
